tone_position,description,keywords,examples
Professional Formal,"Authoritative and serious, for established institutions",dignified,authoritative,respectful,traditional,"Law firms, financial institutions, luxury brands"
Professional Friendly,"Approachable but still credible and trustworthy",warm,approachable,friendly,professional,"Healthcare, education, mainstream services"
Casual Conversational,"Relaxed and friendly, like talking to a friend",casual,friendly,conversational,approachable,"Lifestyle brands, food & beverage, retail"
Playful Witty,"Humorous and entertaining, with personality and character",playful,humorous,witty,entertaining,"Youth brands, entertainment, gaming"
Bold Confident,"Strong and assertive, making a statement",bold,confident,energetic,passionate,"Sports, fitness, disruptive startups"
Elegant Sophisticated,"Refined and luxurious, with attention to beauty",elegant,sophisticated,luxurious,refined,"High-end fashion, luxury goods, premium services"
Minimalist Direct,"Clean and simple, saying exactly what needs to be said",clean,simple,direct,minimal,"Tech brands, modern services, design-focused"
Inspirational Uplifting,"Motivating and positive, encouraging action",inspiring,uplifting,motivational,positive,"Non-profits, coaching, personal development"
Edgy Rebellious,"Breaking conventions and challenging the status quo",edgy,rebellious,provocative,unconventional,"Streetwear, alternative brands, disruptors"
Nurturing Supportive,"Caring and empathetic, focusing on wellbeing",caring,nurturing,supportive,compassionate,"Wellness, healthcare, family brands"
Intellectual Analytical,"Smart and logical, appealing to the mind",intelligent,analytical,logical,objective,"Tech, science, education, research"
